user_id,timestamp,amount,merchant_category,city,is_weekend,hour_of_day,day_of_month,is_foreign,is_fraudulent
USER_00000000,2025-09-17 13:48:57.476677,183.55,Utilities,Houston,False,13,17,False,False
USER_00000000,2026-02-27 09:28:57.476677,108.92,Groceries,San Jose,False,9,27,False,False
USER_00000000,2025-07-08 14:09:57.476677,90.01,Healthcare,San Antonio,False,14,8,False,False
USER_00000000,2025-08-19 06:34:57.476677,41.17,Entertainment,Houston,False,6,19,False,False
USER_00000000,2026-01-11 03:04:57.476677,155.98,Groceries,Dallas,True,3,11,False,False
USER_00000000,2025-12-02 10:45:57.476677,342.98,Online Shopping,Dallas,False,10,2,True,False
USER_00000000,2025-06-11 05:47:57.476677,74.8,Groceries,Houston,False,5,11,False,False
USER_00000000,2026-03-13 12:16:57.476677,117.88,Gas Stations,San Diego,False,12,13,False,False
USER_00000000,2025-11-13 10:53:57.476677,50.99,Groceries,Philadelphia,False,10,13,False,False
USER_00000000,2026-03-25 13:04:57.476677,137.99,Utilities,New York,False,13,25,False,False
USER_00000000,2025-09-07 17:34:57.476677,414.5,Cash Advance,San Antonio,True,17,7,False,False
USER_00000000,2026-03-13 09:58:57.476677,112.12,Groceries,New York,False,9,13,False,False
USER_00000000,2026-01-29 09:07:57.476677,167.45,Groceries,Chicago,False,9,29,False,False
USER_00000000,2026-01-30 04:36:57.476677,82.16,Entertainment,San Diego,False,4,30,False,False
USER_00000000,2025-08-17 05:29:57.476677,21.1,Restaurants,Dallas,True,5,17,False,False
USER_00000000,2025-12-19 05:43:57.476677,201.29,Utilities,Chicago,False,5,19,True,False
USER_00000000,2025-11-12 12:32:57.476677,218.87,Online Shopping,New York,False,12,12,False,False
USER_00000000,2025-12-17 08:15:57.476677,32.75,Restaurants,New York,False,8,17,False,False
USER_00000000,2025-08-22 03:05:57.476677,389.95,Travel,San Antonio,False,3,22,False,False
USER_00000000,2025-12-17 07:55:57.476677,63.69,Gas Stations,Phoenix,False,7,17,False,False
USER_00000001,2026-03-04 02:07:57.476677,136.07,Utilities,New York,False,2,4,False,False
USER_00000001,2025-12-17 00:31:57.476677,208.66,Utilities,Philadelphia,False,0,17,False,False
USER_00000001,2025-07-17 11:04:57.476677,77.42,Groceries,Philadelphia,False,11,17,False,False
USER_00000001,2025-08-14 11:41:57.476677,58.69,Groceries,Houston,False,11,14,False,False
USER_00000001,2026-01-14 13:06:57.476677,89.81,Other,San Antonio,False,13,14,False,False
USER_00000001,2026-02-24 15:38:57.476677,248.63,Utilities,San Antonio,False,15,24,False,False
USER_00000001,2025-12-27 12:10:57.476677,62.84,Groceries,Dallas,True,12,27,False,False
USER_00000001,2026-04-01 05:16:57.476677,446.65,Travel,New York,False,5,1,False,False
USER_00000001,2025-10-09 17:56:57.476677,43.66,Gas Stations,Phoenix,False,17,9,False,False
USER_00000001,2025-06-29 14:13:57.476677,25.43,Restaurants,San Jose,True,14,29,False,False
USER_00000001,2025-05-22 09:49:57.476677,192.5,Travel,Chicago,False,9,22,False,False
USER_00000001,2025-08-24 12:47:57.476677,58.88,Groceries,San Antonio,True,12,24,False,False
USER_00000001,2025-05-27 11:58:57.476677,131.75,Utilities,Houston,False,11,27,False,False
USER_00000001,2025-04-07 12:17:57.476677,79.43,Groceries,Houston,False,12,7,False,False
USER_00000001,2025-08-21 10:59:57.476677,149.58,Online Shopping,New York,False,10,21,True,False
USER_00000001,2025-06-22 12:05:57.476677,50.22,Groceries,New York,True,12,22,False,False
USER_00000001,2025-11-08 13:00:57.476677,60.27,Gas Stations,San Jose,True,13,8,False,False
USER_00000001,2025-07-04 06:17:57.476677,74.39,Online Shopping,Los Angeles,False,6,4,False,False
USER_00000001,2025-09-21 04:54:57.476677,70.45,Groceries,Los Angeles,True,4,21,False,False
USER_00000001,2026-01-27 14:58:57.476677,37.0,Gas Stations,New York,False,14,27,False,False
USER_00000002,2025-12-16 20:28:57.476677,72.61,Gas Stations,San Diego,False,20,16,False,False
USER_00000002,2026-04-03 05:06:57.476677,79.51,Groceries,Philadelphia,False,5,3,False,False
USER_00000002,2025-04-22 13:37:57.476677,141.96,Healthcare,Philadelphia,False,13,22,False,False
USER_00000002,2025-05-11 08:59:57.476677,25.6,Restaurants,San Jose,True,8,11,False,False
USER_00000002,2025-05-24 16:12:57.476677,101.81,Online Shopping,San Jose,True,16,24,False,False
USER_00000002,2025-04-22 03:57:57.476677,124.78,Gas Stations,Dallas,False,3,22,False,False
USER_00000002,2026-01-02 22:32:57.476677,38.92,Gas Stations,Phoenix,False,22,2,False,False
USER_00000002,2025-11-06 08:49:57.476677,95.32,Groceries,Houston,False,8,6,False,False
USER_00000002,2025-05-31 09:55:57.476677,33.08,Restaurants,Other,True,9,31,False,False
USER_00000002,2025-11-21 11:20:57.476677,62.64,Gas Stations,Philadelphia,False,11,21,False,False
USER_00000002,2025-08-03 06:12:57.476677,98.78,Entertainment,San Diego,True,6,3,False,False
USER_00000002,2025-08-07 06:45:57.476677,377.0,Travel,New York,False,6,7,False,False
USER_00000002,2026-03-07 05:09:57.476677,71.3,Gas Stations,San Antonio,True,5,7,False,False
USER_00000002,2026-02-26 11:32:57.476677,297.62,Groceries,San Diego,False,11,26,False,False
USER_00000002,2025-08-21 07:57:57.476677,99.61,Groceries,Dallas,False,7,21,False,False
USER_00000002,2026-03-02 11:35:57.476677,168.05,Groceries,Other,False,11,2,False,False
USER_00000002,2025-08-27 14:02:57.476677,95.39,Groceries,San Diego,False,14,27,False,False
USER_00000002,2026-04-01 09:29:57.476677,21.96,Restaurants,San Antonio,False,9,1,False,False
USER_00000002,2025-05-20 12:27:57.476677,86.08,Groceries,Chicago,False,12,20,False,False
USER_00000002,2025-08-30 04:44:57.476677,63.58,Groceries,Los Angeles,True,4,30,False,False
USER_00000003,2026-01-22 12:53:57.476677,55.67,Groceries,Chicago,False,12,22,False,False
USER_00000003,2026-04-03 07:24:57.476677,72.33,Groceries,Houston,False,7,3,True,False
USER_00000003,2025-05-07 12:15:57.476677,69.42,Groceries,Houston,False,12,7,True,False
USER_00000003,2025-11-24 07:32:57.476677,44.15,Groceries,Philadelphia,False,7,24,False,False
